id	F3D0	F3D1	F3D141	F3D142	F3D143	F3D144	F3D145	F3D146	F3D147	F3D148	F3D149	F3D150	F3D2	F3D3	F3D5	F3D6	F3D7	F3D8	F3D9
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__;s__	3634	1578	3133	1861	1786	2920	4681	2454	10257	6678	6464	2784	9019	3411	1828	3755	2789	1731	2430
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus	156	144	189	182	131	109	313	183	460	452	425	170	344	407	152	485	474	571	607
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__	186	195	332	90	86	42	126	72	78	527	546	124	1229	388	212	265	213	289	444
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	17	103	169	43	79	272	317	180	453	414	486	61	56	171	61	45	16	20	27
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__	94	185	57	113	55	61	60	21	305	130	238	84	364	220	59	459	159	266	208
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__;__	653	1107	247	93	106	87	115	309	447	444	594	346	1948	148	585	504	183	509	777
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter;s__	82	0	105	52	41	114	126	35	313	271	178	30	17	24	36	0	0	6	0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__;s__	68	112	38	34	35	23	41	9	115	166	42	23	405	349	17	76	39	20	44
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__	475	502	397	85	220	50	96	330	337	429	993	450	1159	156	291	371	159	396	437
